Code AGB;Code CIQUAL;Groupe d'aliment;Sous-groupe d'aliment;Nom du Produit en Français;LCI Name;code saison;code avion;Livraison;Matériau d'emballage;Préparation;DQR;Score unique EF 3.1;Changement climatique;Appauvrissement de la couche d'ozone;Rayonnements ionisants;Formation photochimique d'ozone;Particules fines;Effets toxicologiques sur la santé humaine : substances non-cancérogènes;Effets toxicologiques sur la santé humaine : substances cancérogènes;Acidification terrestre et eaux douces;Eutrophisation eaux douces;Eutrophisation marine;Eutrophisation terrestre;Écotoxicité pour écosystèmes aquatiques d'eau douce;Utilisation du sol;Épuisement des ressources eau;Épuisement des ressources énergétiques;Épuisement des ressources minéraux
11009;11009;aides culinaires et ingrédients divers;ingrédients divers;Levure alimentaire;Nutritional yeast;2;0;Ambiant (long);Papier;Pas de préparation;2.46;4.20E-01;5.61E+00;7.37E-07;1.50E-01;9.19E-03;7.53E-08;4.66E-08;1.08E-09;1.23E-02;7.06E-04;1.59E-02;3.91E-02;9.87E+01;2.41E+02;3.90E-01;8.29E+01;5.38E-06
11046;11046;aides culinaires et ingrédients divers;ingrédients divers;Levure chimique ou Poudre à lever;Baking powder or raising agent;2;0;Ambiant (long);Papier;Pas de préparation;2.85;4.20E-01;5.61E+00;7.37E-07;1.50E-01;9.19E-03;7.53E-08;4.66E-08;1.08E-09;1.23E-02;7.06E-04;1.59E-02;3.91E-02;9.87E+01;2.41E+02;3.90E-01;8.29E+01;5.38E-06
11010;11010;aides culinaires et ingrédients divers;ingrédients divers;Levure de boulanger, compressée;Baker's yeast, compressed;2;0;Ambiant (long);Carton;Pas de préparation;2.46;4.29E-01;5.71E+00;7.50E-07;1.60E-01;9.52E-03;8.33E-08;4.76E-08;1.13E-09;1.28E-02;7.40E-04;1.62E-02;4.06E-02;9.94E+01;2.43E+02;4.21E-01;8.44E+01;5.85E-06
11045;11045;aides culinaires et ingrédients divers;ingrédients divers;Levure de boulanger, déshydratée;Baker's yeast, dehydrated;2;0;Ambiant (long);Papier;Pas de préparation;2.46;4.20E-01;5.61E+00;7.37E-07;1.50E-01;9.19E-03;7.53E-08;4.66E-08;1.08E-09;1.23E-02;7.06E-04;1.59E-02;3.91E-02;9.87E+01;2.41E+02;3.90E-01;8.29E+01;5.38E-06
20996;20996;aides culinaires et ingrédients divers;algues;Lichen de mer ou pioca ou goémon rouge (Chondrus crispus), séché ou déshydraté;Carragheen mosses (Chondrus crispus), dried or dehydrated;2;0;Ambiant (long);LDPE;Pas de préparation;2.99;1.21E+00;6.58E+00;9.80E-07;1.10E+01;3.49E-02;7.11E-07;7.36E-08;6.37E-09;9.42E-02;1.86E-03;1.19E-02;1.12E-01;4.38E+01;2.60E+01;3.10E+00;3.13E+02;8.73E-05
11034;11034;aides culinaires et ingrédients divers;herbes;Marjolaine, séchée;Marjoram, dried;2;0;Ambiant (long);Verre;Pas de préparation;3.75;3.98E-01;1.55E+00;1.67E-07;1.69E-01;6.95E-03;2.56E-07;3.79E-08;2.00E-09;3.07E-02;4.55E-04;1.51E-02;1.18E-01;1.84E+01;1.38E+02;1.99E+01;1.86E+01;1.44E-05
11054;11054;aides culinaires et ingrédients divers;sauces;Mayonnaise (70% MG min.);Mayonnaise (70% fat and more);2;0;Glacé;PVC;Pas de préparation;2.49;4.95E-01;3.01E+00;3.62E-07;9.11E-01;1.07E-02;3.20E-07;1.68E-07;5.00E-09;4.23E-02;7.88E-04;2.33E-02;1.83E-01;6.01E+01;3.88E+02;4.97E+00;4.20E+01;2.18E-05
11079;11079;aides culinaires et ingrédients divers;sauces;Mayonnaise à teneur réduite en matière grasse ou Mayonnaise allégée;Mayonnaise, reduced fat or light mayonnaise;2;0;Glacé;PVC;Pas de préparation;2.92;4.95E-01;3.01E+00;3.62E-07;9.11E-01;1.07E-02;3.20E-07;1.68E-07;5.00E-09;4.23E-02;7.88E-04;2.33E-02;1.83E-01;6.01E+01;3.88E+02;4.97E+00;4.20E+01;2.18E-05
51500;51500;aides culinaires et ingrédients divers;herbes;Meloukhia, feuilles de corète séchées, en poudre;Molokhia powder (dried jute leaves);2;0;Ambiant (long);Verre;Pas de préparation;3.75;2.59E-01;1.50E+00;1.72E-07;2.98E-01;5.96E-03;1.88E-07;1.19E-07;2.16E-09;1.43E-02;2.13E-04;5.34E-03;6.83E-02;1.53E+01;7.47E+00;8.76E+00;2.40E+01;1.26E-05
11027;11027;aides culinaires et ingrédients divers;herbes;Menthe, fraîche;Mint, fresh;2;0;Ambiant (long);LDPE;Pas de préparation;3.18;1.15E-01;6.91E-01;5.49E-08;1.24E-01;2.21E-03;6.04E-08;1.02E-08;5.36E-10;7.12E-03;1.72E-04;3.52E-03;2.73E-02;4.82E+00;3.20E+01;4.66E+00;1.10E+01;4.20E-06
20916;20916;aides culinaires et ingrédients divers;ingrédients divers;Miso;Miso;2;0;Ambiant (long);Carton;Pas de préparation;2.52;2.64E-01;1.05E+00;9.62E-08;5.36E-01;3.57E-03;6.54E-08;1.50E-07;1.02E-09;8.36E-03;2.48E-04;8.98E-03;3.07E-02;1.73E+01;7.37E+01;1.50E+01;1.93E+01;6.94E-06
11013;11013;aides culinaires et ingrédients divers;condiments;Moutarde;Mustard;2;0;Ambiant (long);Verre;Pas de préparation;2.47;3.15E-01;1.83E+00;2.46E-07;6.63E-01;7.66E-03;2.08E-07;1.03E-07;3.51E-09;2.22E-02;5.72E-04;1.29E-02;7.91E-02;3.31E+01;2.46E+02;3.98E+00;3.21E+01;1.65E-05
11021;11021;aides culinaires et ingrédients divers;condiments;Moutarde à l'ancienne;Mustard, with grains;2;0;Ambiant (long);Verre;Pas de préparation;2.21;3.08E-01;2.14E+00;2.66E-07;6.98E-01;7.97E-03;2.06E-07;1.08E-07;3.73E-09;2.09E-02;6.08E-04;1.38E-02;7.34E-02;3.24E+01;2.27E+02;1.40E+00;3.37E+01;1.94E-05
11048;11048;aides culinaires et ingrédients divers;épices;Noix de muscade;Nutmeg;2;0;Ambiant (long);Verre;Pas de préparation;3.75;1.44E-01;1.20E+00;1.74E-07;1.60E-01;7.15E-03;1.01E-07;1.85E-08;6.13E-10;1.21E-02;1.64E-04;5.21E-03;2.96E-02;2.44E+01;1.60E+01;1.21E+00;1.72E+01;9.02E-06
20987;20987;aides culinaires et ingrédients divers;algues;Nori (Porphyra sp.), séchée ou déshydratée;Laver (Porphyra sp.), dried or dehydrated;2;0;Ambiant (long);LDPE;Pas de préparation;2.99;1.23E+00;6.77E+00;1.02E-06;1.11E+01;3.89E-02;7.17E-07;7.44E-08;6.48E-09;9.97E-02;1.87E-03;1.33E-02;1.27E-01;4.46E+01;2.65E+01;3.10E+00;3.15E+02;8.76E-05
13147;13147;aides culinaires et ingrédients divers;condiments;Olives vertes, fourrées ou farcies (anchois, poivrons, etc.);Olive, green, stuffed (anchovy, sweet peppers, etc…);2;0;Glacé;Verre;Pas de préparation;2.46;1.31E-01;8.94E-01;1.66E-07;2.72E-01;4.61E-03;1.08E-07;2.42E-08;7.39E-10;9.50E-03;1.45E-04;2.58E-03;2.46E-02;9.17E+00;5.08E+01;2.00E+00;1.70E+01;8.55E-06
11035;11035;aides culinaires et ingrédients divers;herbes;Origan, séché;Oregano, dried;2;0;Ambiant (long);Verre;Pas de préparation;3.75;3.98E-01;1.55E+00;1.67E-07;1.69E-01;6.95E-03;2.56E-07;3.79E-08;2.00E-09;3.07E-02;4.55E-04;1.51E-02;1.18E-01;1.84E+01;1.38E+02;1.99E+01;1.86E+01;1.44E-05
11049;11049;aides culinaires et ingrédients divers;épices;Paprika;Paprika;2;0;Ambiant (long);Verre;Pas de préparation;4.31;1.42E+00;9.19E+00;8.06E-07;8.47E-01;3.57E-02;1.33E-06;1.12E-07;3.92E-09;9.58E-02;1.59E-03;6.99E-02;5.80E-01;1.64E+02;6.99E+02;1.92E+01;8.73E+01;1.29E-04
11061;11061;aides culinaires et ingrédients divers;épices;Pavot, graine;Poppy, seed;2;0;Ambiant (long);Verre;Pas de préparation;3.75;4.57E-01;1.84E+00;1.75E-07;1.70E-01;8.60E-03;4.31E-07;1.79E-07;4.47E-09;5.64E-02;1.51E-03;2.95E-02;2.33E-01;2.28E+01;2.89E+02;5.08E+00;1.93E+01;1.39E-05
11014;11014;aides culinaires et ingrédients divers;herbes;Persil, frais;Parsley, fresh;2;0;Ambiant (long);LDPE;Pas de préparation;2.99;1.86E-01;1.09E+00;8.32E-08;1.38E-01;5.06E-03;1.04E-07;6.09E-08;1.83E-09;1.49E-02;2.87E-04;2.08E-02;6.26E-02;6.58E+00;1.32E+02;1.98E+00;1.41E+01;6.13E-06
